Latitude, Heading, Longitude, Heading, Time, GPS Altitude, GPS Altitude Units, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
5043.61441,N,00149.11539,W,180642.00,0.0,M,23,37,37,None,150020.06688963214,514370.3703703706,140805.11182108632,0.23229567315038127,0.13247314326497633,0.19560114053285016,0.1867899856494026,22.522998007934895,49.780923783294035,1013.2352061827484,0.12316610717334031,427.5608,0
5043.61435,N,00149.11542,W,180643.00,0.0,M,23,37,37,None,150020.06688963214,514370.3703703706,140178.34394904462,0.25995415072809414,0.15444672450617888,0.1492499887787344,0.18788362133766914,22.528123188597327,49.7694326821192,1013.2319151134758,0.15056614280447467,428.5382,0
5043.61429,N,00149.11548,W,180644.00,0.0,M,23,37,37,None,150020.06688963214,514370.3703703706,140178.34394904462,0.22801893973560314,0.10997094720500726,0.11646842719497189,0.15148610471186075,22.53869387463276,49.74065756286259,1013.2359373372758,0.11707883697451571,429.5156,6
5043.61423,N,00149.11557,W,180645.00,0.0,M,23,37,37,None,149333.33333333334,514370.3703703706,139555.5555555556,0.22038250137738433,0.09174839034960117,0.1069205424921368,0.1396838114063741,22.549264561906238,49.74087430399891,1013.2332418717533,0.13952011198741343,425.2371,0
5043.61419,N,00149.11563,W,180646.00,0.0,M,23,37,37,None,148651.16279069768,509137.6146788992,139555.5555555556,0.26593259108427253,0.12409036947363561,0.11321483178271215,0.16774593078020675,22.551827152946863,49.69453680863121,1013.2273976358795,0.1881768471226486,426.2145,0
5043.61415,N,00149.11563,W,180647.00,0.0,M,23,37,37,None,148651.16279069768,514370.3703703706,138936.7088607595,0.2297197460893684,0.10470759593533717,0.14030246439105415,0.15824326880525325,22.550225533537947,49.64811364156569,1013.2281114437328,0.1822339605558687,429.33115,0
5043.61414,N,00149.11563,W,180648.00,0.0,M,27,42,42,None,147973.50993377488,514370.3703703706,138936.7088607595,0.2338358161498707,0.08646073537278674,0.06218715464619557,0.127494568722951,22.5508661812981,49.642327777051385,1013.2274900536149,0.18740741281110695,426.03005,5
5043.61414,N,00149.11562,W,180649.00,0.0,M,31,47,47,None,147973.50993377488,514370.3703703706,138936.7088607595,0.26158032069798115,0.12626665067028223,0.15623316376031995,0.1813600450428611,22.551827152946863,49.636548377678956,1013.232435674137,0.1462321725121074,423.8908,0
5043.61414,N,00149.11567,W,180650.00,0.0,M,32,49,49,None,147300.33003300332,514370.3703703706,138936.7088607595,0.26977237522439085,0.18196572886781265,0.2805712188674877,0.2441031076532304,22.557592983054292,49.59027316649859,1013.2385985730605,0.09492259131046676,424.8682,0
5043.61411,N,00149.11574,W,180651.00,0.0,M,36,54,56,None,146631.57894736843,514370.3703703706,138321.76656151426,0.23858049630685219,0.07821395884926495,0.057140847365274285,0.12464510084046382,22.566562052842436,49.54985957992652,1013.239974924011,0.08346373420902053,423.70635,3
