GPS sentence prefix, Latitude, Heading, Longitude, Heading, Time, Data Valid, Checksum, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
$GPGLL,5043.70288,N,00157.14787,W,072543.00,A,A*75,7,8,8,None,10594.594594594595,470495.7264957265,547921.5686274517,0.37106712392402086,0.18330463975839892,0.27371510866845,0.27602895745028994,21.99844385874203,53.817555664358245,1007.3745246219734,49.03129168780967,101.68495,1202
$GPGLL,5043.69628,N,00157.14499,W,072544.00,A,A*78,7,8,8,None,10594.594594594595,453090.9090909091,547921.5686274517,0.31546470805437693,0.14665152360511144,0.13823215534926211,0.20011612900291684,21.971751299184167,53.97914442742328,1007.4777647046749,48.16774911328535,39.9977,1241
$GPGLL,5043.68923,N,00157.14271,W,072545.00,A,A*7C,7,8,8,None,10666.666666666668,479652.1739130438,553900.99009901,0.3239502805328796,0.11830280881911427,0.14798493347718117,0.19674600760972502,21.961781790996703,54.01943797591508,1007.536456345479,47.6768600002079,157.38665,1176
$GPGLL,5043.68312,N,00157.13893,W,072546.00,A,A*76,7,8,8,None,10666.666666666668,475034.48275862087,553900.99009901,0.30602510015196743,0.13318703490942546,0.1869529288206985,0.20872168796069712,21.952455477874924,54.08294368615526,1007.6575815559023,46.66385797190719,196.031,1258
$GPGLL,5043.67627,N,00157.13724,W,072547.00,A,A*78,7,8,8,None,10666.666666666668,479652.1739130438,560000.0000000003,0.3625404776558702,0.07512277698988724,0.044159694533723856,0.16060764972649377,21.93701882377429,54.157856388041054,1007.732390117259,46.03826352596413,195.56895,1284
$GPGLL,5043.67003,N,00157.13587,W,072548.00,A,A*7C,7,7,7,None,10666.666666666668,479652.1739130438,560000.0000000003,0.3128815611579398,0.15968761606721774,0.10701456052801613,0.1931945792510579,21.92222536605243,54.116817938333874,1007.8098857039229,45.390238201150005,58.8417,1257
$GPGLL,5043.66309,N,00157.13551,W,072549.00,A,A*7E,7,7,7,None,10738.894907908994,494000.00000000023,566222.2222222228,0.32332871879765795,0.10353075671469415,0.04731116756969466,0.1580568810273489,21.902286361624853,54.10461613322797,1007.8160612985743,45.33859903836016,93.27035,1263
$GPGLL,5043.65643,N,00157.13566,W,072550.00,A,A*7A,7,7,7,None,10811.279826464208,494000.00000000023,566222.2222222228,0.268060424395278,0.05689283520519947,0.02711387605774548,0.11735571188607431,21.88459853877439,54.121472548263775,1007.8557162288403,45.007018062707864,148.9726,1082
$GPGLL,5043.60094,N,00157.09095,W,072600.00,A,A*77,5,6,6,None,10811.279826464208,484350.877192983,572571.4285714285,0.3960663880589981,0.15705671935303453,0.10822118716809251,0.22044809819337505,21.861443575877,54.167148072903956,1007.9529682464871,44.193874644065914,158.0394,1223
$GPGLL,5043.59492,N,00157.08879,W,072601.00,A,A*75,5,6,6,None,10883.821932681869,489132.7433628319,572571.4285714285,0.26973107224721776,0.13897606418903802,0.13150924668554287,0.18007212770726622,21.843755760967564,54.18979688661594,1008.0623046506695,43.279767125046305,88.5896,1250
$GPGLL,5043.58880,N,00157.08718,W,072602.00,A,A*70,5,6,6,None,10883.821932681869,479652.1739130438,572571.4285714285,0.3550319532252523,0.10344580276393943,0.07098367041322749,0.17648714213413974,21.82703273912505,54.14870679528829,1008.1549308049123,42.50542853929988,90.36675,1264
$GPGLL,5043.58274,N,00157.08523,W,072603.00,A,A*7A,5,6,6,None,10956.521739130438,498954.9549549553,579051.5463917528,0.375967638469267,0.18924634808199153,0.12767702332017214,0.23096366995714357,21.814168878261103,54.16570495790186,1008.2454503791229,41.74875625054025,166.80935,1270
$GPGLL,5043.57660,N,00157.08324,W,072604.00,A,A*72,5,6,6,None,10956.521739130438,498954.9549549553,585666.6666666671,0.3200005893106706,0.17504747322289269,0.16779383577261536,0.22094729943539285,21.803877790879618,54.17698399553445,1008.350051746235,40.874439777313114,190.7751,1262
$GPGLL,5043.57042,N,00157.08129,W,072605.00,A,A*7A,5,6,6,None,10956.521739130438,484350.877192983,585666.6666666671,0.3084195335162029,0.17903718581098857,0.2724496016785944,0.2533021070019286,21.800018633411696,54.20584887369195,1008.388654145748,40.551797978305295,164.202,1264
$GPGLL,5043.56425,N,00157.07920,W,072606.00,A,A*73,5,6,6,None,11029.379760609361,484350.877192983,585666.6666666671,0.3280307888684826,0.10400685067337355,0.07330351907936733,0.16844705287374118,21.788441161990182,54.298235209703186,1008.441409712394,40.11087910163972,123.5509,1227
$GPGLL,5043.55822,N,00157.07661,W,072607.00,A,A*70,5,6,6,None,11029.379760609361,489132.7433628319,585666.6666666671,0.29597674173961347,0.13626430249492583,0.17965483978551058,0.20396529467334998,21.773647728429047,54.37312655334377,1008.5503867825053,39.200132981708926,182.80895,1263
$GPGLL,5043.55222,N,00157.07392,W,072608.00,A,A*7C,5,6,6,None,11102.396514161223,484350.877192983,585666.6666666671,0.3168382303281559,0.0946972324630207,0.057265243477650093,0.1562669020896089,21.757246315771134,54.418982989392866,1008.5970479465572,38.81019940153902,153.4761,1245
$GPGLL,5043.54602,N,00157.07143,W,072609.00,A,A*74,5,6,6,None,11102.396514161223,484350.877192983,585666.6666666671,0.32629736325609776,0.11030313309609052,0.11179705118411326,0.1827991825121005,21.740523309831133,54.49380170956059,1008.6299166667293,38.535533973731724,165.565,1271
$GPGLL,5043.53961,N,00157.06941,W,072610.00,A,A*7A,5,6,6,None,11102.396514161223,475034.48275862087,585666.6666666671,0.32051142745985356,0.10395082553909916,0.05794969505223201,0.16080398268372825,21.72765946119989,54.551349503940045,1008.7204108740493,37.77936216864643,174.74995,1277
